t,binance_funding_rate,funding_payment
1736460000000,,1.25e-05
1736463600000,,1.25e-05
1736467200000,3.966e-05,1.25e-05
1736470800000,,1.25e-05
1736474400000,,1.25e-05
1736478000000,,1.25e-05
1736481600000,,1.25e-05
1736485200000,,1.25e-05
1736488800000,,1.25e-05
1736492400000,,1.25e-05
1736496000000,-1.06e-05,1.25e-05
1736499600000,,1.25e-05
1736503200000,,1.25e-05
1736506800000,,1.25e-05
1736510400000,,1.25e-05
1736514000000,,8.57e-06
1736517600000,,1.25e-05
1736521200000,,-5.23e-06
1736524800000,8.078e-05,1.25e-05
1736528400000,,1.25e-05
1736532000000,,1.25e-05
1736535600000,,1.25e-05
1736539200000,,1.25e-05
1736542800000,,4.844e-05
1736546400000,,3.923e-05
1736550000000,,1.25e-05
1736553600000,5.68e-05,1.25e-05
1736557200000,,1.25e-05
1736560800000,,1.25e-05
1736564400000,,1.25e-05
1736568000000,,1.25e-05
1736571600000,,1.25e-05
1736575200000,,1.25e-05
1736578800000,,1.25e-05
1736582400000,4.055e-05,1.25e-05
1736586000000,,1.25e-05
1736589600000,,1.25e-05
1736593200000,,1.25e-05
1736596800000,,1.25e-05
1736600400000,,1.25e-05
1736604000000,,1.25e-05
1736607600000,,1.25e-05
1736611200000,2.608e-05,1.25e-05
1736614800000,,1.25e-05
1736618400000,,1.25e-05
1736622000000,,1.25e-05
1736625600000,,1.25e-05
1736629200000,,1.25e-05
1736632800000,,1.25e-05
1736636400000,,1.25e-05
1736640000000,5.009e-05,1.25e-05
1736643600000,,1.25e-05
1736647200000,,1.25e-05
1736650800000,,1.808e-05
1736654400000,,1.25e-05
1736658000000,,1.25e-05
1736661600000,,1.25e-05
1736665200000,,1.25e-05
1736668800000,3.21e-05,1.25e-05
1736672400000,,1.25e-05
1736676000000,,1.25e-05
1736679600000,,1.25e-05
1736683200000,,2.37e-05
1736686800000,,1.25e-05
1736690400000,,1.409e-05
1736694000000,,1.25e-05
1736697600000,6.647e-05,2.822e-05
1736701200000,,4.008e-05
1736704800000,,2.551e-05
1736708400000,,3.671e-05
1736712000000,,4.844e-05
1736715600000,,2.727e-05
1736719200000,,1.25e-05
1736722800000,,2.53e-05
1736726400000,5.266e-05,1.25e-05
1736730000000,,1.487e-05
1736733600000,,1.25e-05
1736737200000,,1.25e-05
