t,binance_funding_rate,funding_payment
1736452800000,,1.25e-05
1736456400000,,1.25e-05
1736460000000,,1.25e-05
1736463600000,,7.693e-05
1736467200000,4.166e-05,1.25e-05
1736470800000,,1.794e-05
1736474400000,,4.907e-05
1736478000000,,5.433e-05
1736481600000,,1.25e-05
1736485200000,,1.25e-05
1736488800000,,1.25e-05
1736492400000,,4.59e-05
1736496000000,-1.644e-05,1.25e-05
1736499600000,,1.25e-05
1736503200000,,1.25e-05
1736506800000,,1.25e-05
1736510400000,,1.25e-05
1736514000000,,1.25e-05
1736517600000,,1.25e-05
1736521200000,,1.243e-05
1736524800000,5.262e-05,1.25e-05
1736528400000,,1.25e-05
1736532000000,,4.057e-05
1736535600000,,2.51e-05
1736539200000,,2.874e-05
1736542800000,,6.543e-05
1736546400000,,1.25e-05
1736550000000,,1.25e-05
1736553600000,-7.26e-06,1.314e-05
1736557200000,,3.18e-05
1736560800000,,1.25e-05
1736564400000,,1.25e-05
1736568000000,,1.25e-05
1736571600000,,1.25e-05
1736575200000,,1.25e-05
1736578800000,,1.25e-05
1736582400000,-0.00011655,1.25e-05
1736586000000,,1.25e-05
1736589600000,,1.25e-05
1736593200000,,1.25e-05
1736596800000,,1.25e-05
1736600400000,,1.25e-05
1736604000000,,1.25e-05
1736607600000,,1.25e-05
1736611200000,-0.00014312,1.25e-05
1736614800000,,1.25e-05
1736618400000,,1.25e-05
1736622000000,,1.25e-05
1736625600000,,1.25e-05
1736629200000,,1.434e-05
1736632800000,,3.715e-05
1736636400000,,1.25e-05
1736640000000,-5.09e-06,1.25e-05
1736643600000,,1.25e-05
1736647200000,,1.25e-05
1736650800000,,1.25e-05
1736654400000,,1.25e-05
1736658000000,,1.25e-05
1736661600000,,1.25e-05
1736665200000,,1.25e-05
1736668800000,0.0001,1.25e-05
1736672400000,,1.25e-05
1736676000000,,1.25e-05
1736679600000,,2.107e-05
1736683200000,,3.676e-05
1736686800000,,2.61e-05
1736690400000,,3.895e-05
1736694000000,,2.485e-05
1736697600000,8.46e-06,4.332e-05
1736701200000,,4.65e-05
1736704800000,,1.25e-05
1736708400000,,2.79e-05
1736712000000,,1.25e-05
1736715600000,,3.8e-05
1736719200000,,1.25e-05
1736722800000,,1.25e-05
1736726400000,0.0001,1.25e-05
1736730000000,,1.25e-05
1736733600000,,1.25e-05
1736737200000,,1.25e-05
1736740800000,,1.25e-05
1736744400000,,1.25e-05
1736748000000,,1.25e-05
1736751600000,,1.25e-05
1736755200000,0.0001,1.25e-05
1736758800000,,1.25e-05
1736762400000,,1.25e-05
1736766000000,,8.971e-05
1736769600000,,1.25e-05
1736773200000,,1.25e-05
1736776800000,,5.29e-06
1736780400000,,1.25e-05
1736784000000,0.0001,1.25e-05
1736787600000,,1.25e-05
1736791200000,,1.25e-05
1736794800000,,1.25e-05
1736798400000,,1.25e-05
1736802000000,,1.25e-05
1736805600000,,1.25e-05
1736809200000,,1.25e-05
1736812800000,-2.99e-06,1.25e-05
1736816400000,,1.25e-05
1736820000000,,1.25e-05
1736823600000,,1.25e-05
1736827200000,,2.374e-05
1736830800000,,1.25e-05
1736834400000,,1.25e-05
1736838000000,,1.25e-05
1736841600000,7.021e-05,1.25e-05
1736845200000,,1.25e-05
1736848800000,,1.25e-05
1736852400000,,6.1e-06
1736856000000,,1.25e-05
1736859600000,,1.25e-05
1736863200000,,1.25e-05
1736866800000,,1.25e-05
1736870400000,-6.727e-05,1.25e-05
1736874000000,,1.25e-05
1736877600000,,1.25e-05
1736881200000,,3.54e-05
1736884800000,,1.25e-05
1736888400000,,1.25e-05
1736892000000,,1.25e-05
1736895600000,,4.55e-05
1736899200000,2.565e-05,1.25e-05
1736902800000,,1.25e-05
1736906400000,,8.737e-05
1736910000000,,1.25e-05
1736913600000,,2.531e-05
1736917200000,,3.299e-05
1736920800000,,1.25e-05
1736924400000,,4.146e-05
1736928000000,0.0001,3.425e-05
1736931600000,,1.25e-05
1736935200000,,1.25e-05
1736938800000,,1.25e-05
1736942400000,,1.25e-05
1736946000000,,1.25e-05
1736949600000,,2.105e-05
1736953200000,,3.231e-05
1736956800000,0.0001,6.881e-05
1736960400000,,5.48e-05
1736964000000,,1.25e-05
1736967600000,,5.912e-05
1736971200000,,5.909e-05
1736974800000,,1.25e-05
1736978400000,,3.395e-05
1736982000000,,0.00017458
1736985600000,0.0001,5.122e-05
1736989200000,,0.00011522
1736992800000,,5.721e-05
1736996400000,,2.261e-05
1737000000000,,1.758e-05
1737003600000,,4.417e-05
1737007200000,,1.25e-05
1737010800000,,2.568e-05
1737014400000,0.0001,1.25e-05
1737018000000,,4.335e-05
1737021600000,,3.574e-05
1737025200000,,1.25e-05
1737028800000,,4.074e-05
1737032400000,,7.145e-05
1737036000000,,7.074e-05
1737039600000,,-1.683e-05
1737043200000,7.236e-05,1.25e-05
1737046800000,,2.219e-05
1737050400000,,0.00012029
1737054000000,,4.274e-05
1737057600000,,0.00014011
1737061200000,,8.988e-05
1737064800000,,7.707e-05
1737068400000,,5.166e-05
1737072000000,,8.806e-05
1737072000004,0.0001,
1737075600000,,0.00011183
1737079200000,,0.00017796
1737082800000,,6.424e-05
1737086400000,,6.467e-05
1737090000000,,6.102e-05
1737093600000,,1.544e-05
1737097200000,,3.849e-05
1737100800000,0.0001,4.207e-05
1737104400000,,1.25e-05
1737108000000,,1.25e-05
1737111600000,,1.25e-05
1737115200000,,1.25e-05
1737118800000,,4.53e-05
1737122400000,,5.779e-05
1737126000000,,8.216e-05
1737129600000,,0.00010652
1737129600008,0.0001,
1737133200000,,3.632e-05
1737136800000,,1.589e-05
1737140400000,,1.25e-05
