t,binance_funding_rate,funding_payment
1736449200000,,1.25e-05
1736452800000,,1.25e-05
1736456400000,,1.25e-05
1736460000000,,1.25e-05
1736463600000,,-2.488e-05
1736467200000,8.73e-06,1.25e-05
1736470800000,,-1.125e-05
1736474400000,,1.25e-05
1736478000000,,1.25e-05
1736481600000,,1.25e-05
1736485200000,,-3.62e-06
1736488800000,,1.25e-05
1736492400000,,1.25e-05
1736496000000,-7.385e-05,1.25e-05
1736499600000,,1.25e-05
1736503200000,,1.25e-05
1736506800000,,1.25e-05
1736510400000,,1.25e-05
1736514000000,,-9.16e-06
1736517600000,,-5.14e-05
1736521200000,,-2.41e-05
1736524800000,3.388e-05,1.25e-05
1736528400000,,-5.17e-06
1736532000000,,1.25e-05
1736535600000,,-9.85e-06
1736539200000,,3.36e-06
1736542800000,,1.25e-05
1736546400000,,1.09e-05
1736550000000,,9.2e-06
1736553600000,9.89e-06,9.22e-06
1736557200000,,-1.719e-05
1736560800000,,2.14e-06
1736564400000,,9.55e-06
1736568000000,,8.85e-06
1736571600000,,-1.15e-05
1736575200000,,1.25e-05
1736578800000,,8.77e-06
1736582400000,-3.578e-05,1.25e-05
1736586000000,,-1.832e-05
1736589600000,,1.25e-05
1736593200000,,9.37e-06
1736596800000,,-1.483e-05
1736600400000,,1.25e-05
1736604000000,,-4.51e-06
1736607600000,,3.69e-06
1736611200000,-4.343e-05,-3.29e-06
1736614800000,,1.25e-05
1736618400000,,-4.48e-06
1736622000000,,1.25e-05
1736625600000,,1.25e-05
1736629200000,,1.25e-05
1736632800000,,1.25e-05
1736636400000,,1.25e-05
1736640000000,2.102e-05,1.25e-05
1736643600000,,1.25e-05
1736647200000,,-2.99e-06
1736650800000,,-2.45e-06
1736654400000,,1.25e-05
1736658000000,,1.25e-05
1736661600000,,-2.455e-05
1736665200000,,1.25e-05
1736668800000,-4.366e-05,1.25e-05
1736672400000,,1.25e-05
1736676000000,,1.25e-05
1736679600000,,1.25e-05
1736683200000,,1.25e-05
1736686800000,,1.25e-05
1736690400000,,1.25e-05
