t,binance_funding_rate,funding_payment
1736467200000,6.1e-05,1.25e-05
1736470800000,,1.25e-05
1736474400000,,2.3e-06
1736478000000,,1.25e-05
1736481600000,,1.25e-05
1736485200000,,1.25e-05
1736488800000,,1.25e-05
1736492400000,,1.25e-05
1736496000000,0.0001,1.25e-05
1736499600000,,1.25e-05
1736503200000,,1.25e-05
1736506800000,,1.25e-05
1736510400000,,1.25e-05
1736514000000,,1.25e-05
1736517600000,,1.25e-05
1736521200000,,1.25e-05
1736524800000,0.0001,1.25e-05
1736528400000,,2.539e-05
1736532000000,,1.25e-05
1736535600000,,4.454e-05
1736539200000,,1.25e-05
1736542800000,,7.667e-05
1736546400000,,4.972e-05
1736550000000,,2.288e-05
1736553600000,0.0001,2.372e-05
1736557200000,,1.25e-05
1736560800000,,1.25e-05
1736564400000,,1.25e-05
1736568000000,,1.25e-05
1736571600000,,1.25e-05
1736575200000,,1.25e-05
1736578800000,,1.25e-05
1736582400000,0.0001,1.25e-05
1736586000000,,1.25e-05
1736589600000,,1.25e-05
1736593200000,,3.984e-05
1736596800000,,1.25e-05
1736600400000,,3.533e-05
1736604000000,,1.583e-05
1736607600000,,1.25e-05
1736611200000,0.0001,1.538e-05
1736614800000,,1.25e-05
1736618400000,,4.497e-05
1736622000000,,3.289e-05
1736625600000,,1.25e-05
1736629200000,,0.00012711
1736632800000,,9.776e-05
1736636400000,,1.599e-05
1736640000000,0.0001,4.258e-05
1736643600000,,1.25e-05
1736647200000,,4.602e-05
1736650800000,,2.103e-05
1736654400000,,2.46e-05
1736658000000,,1.25e-05
1736661600000,,1.604e-05
1736665200000,,1.25e-05
1736668800000,0.0001,1.25e-05
1736672400000,,7.619e-05
1736676000000,,3.768e-05
1736679600000,,5.015e-05
1736683200000,,4.789e-05
1736686800000,,5.217e-05
1736690400000,,6.212e-05
1736694000000,,1.25e-05
1736697600000,0.0001,1.677e-05
1736701200000,,1.378e-05
1736704800000,,1.25e-05
1736708400000,,4.557e-05
1736712000000,,6.163e-05
